locality,Price,Number_bedrooms,Living_area
220000.0,220000,3.0,112.0
252069.38775510204,225000,2.0,80.0
252069.38775510204,230000,2.0,95.0
240558.82352941178,325000,3.0,124.0
208454.54545454544,216500,2.0,86.0
207000.0,269500,3.0,103.0
203777.77777777778,190000,2.0,82.0
203777.77777777778,200000,2.0,82.0
296970.5882352941,229000,2.0,105.0
192000.0,185000,2.0,81.0
296970.5882352941,365000,3.0,125.0
221000.0,225000,1.0,125.0
252069.38775510204,229000,2.0,126.0
203777.77777777778,210000,2.0,82.0
203777.77777777778,250000,3.0,116.0
296970.5882352941,270000,2.0,94.0
186000.0,189000,2.0,95.0
271724.3243243243,275000,2.0,89.0
314900.0,314900,2.0,115.0
252069.38775510204,235000,2.0,91.0
252069.38775510204,297500,2.0,120.0
220400.0,215000,2.0,84.0
220400.0,225000,2.0,84.0
206306.41176470587,235000,3.0,117.0
144980.0,155000,2.0,97.0
144980.0,155000,2.0,93.0
206306.41176470587,240000,3.0,149.0
206306.41176470587,180000,2.0,79.0
206306.41176470587,190000,2.0,76.0
172666.66666666666,199000,2.0,81.0
206306.41176470587,199000,2.0,94.0
206306.41176470587,165000,1.0,67.0
206306.41176470587,190000,2.0,95.0
206306.41176470587,190000,2.0,93.0
206306.41176470587,199000,2.0,82.0
252069.38775510204,335000,2.0,130.0
296970.5882352941,166000,2.0,89.0
221000.0,215000,1.0,70.0
252069.38775510204,355000,2.0,78.0
252069.38775510204,325000,2.0,95.0
179441.8918918919,165000,2.0,80.0
296970.5882352941,155000,2.0,84.0
203777.77777777778,200000,2.0,82.0
271724.3243243243,175000,1.0,60.0
213000.0,175000,1.0,60.0
271724.3243243243,215000,1.0,81.0
252069.38775510204,124900,1.0,51.0
240558.82352941178,129000,1.0,53.0
172666.66666666666,185000,2.0,87.0
149000.0,149000,4.0,80.0
203777.77777777778,180000,1.0,65.0
192000.0,205000,2.0,80.0
116000.0,95000,1.0,45.0
116000.0,95000,1.0,45.0
172666.66666666666,134000,1.0,52.0
144980.0,140000,2.0,97.0
179750.0,179000,2.0,76.0
182207.14285714287,185000,2.0,77.0
182207.14285714287,185000,2.0,77.0
203777.77777777778,199500,2.0,89.0
286750.0,292500,3.0,116.0
252069.38775510204,387000,2.0,117.0
110000.0,110000,1.0,50.0
203777.77777777778,225000,2.0,95.0
296970.5882352941,223000,3.0,100.0
192000.0,185000,2.0,80.0
203777.77777777778,185000,2.0,89.0
220400.0,252000,2.0,96.0
116000.0,170000,3.0,79.0
286750.0,277500,3.0,114.0
179441.8918918919,140000,2.0,50.0
179441.8918918919,118500,1.0,60.0
